year,url,file,local_file_date
1962,https://comtrade.un.org/api/get/bulk/C/A/1962/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1962_freq-A_px-S1_pub-20050214_fmt-csv_ex-20151113.zip,2005-02-14
1963,https://comtrade.un.org/api/get/bulk/C/A/1963/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1963_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151112.zip,2005-12-12
1964,https://comtrade.un.org/api/get/bulk/C/A/1964/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1964_freq-A_px-S1_pub-20051213_fmt-csv_ex-20151113.zip,2005-12-13
1965,https://comtrade.un.org/api/get/bulk/C/A/1965/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1965_freq-A_px-S1_pub-20051213_fmt-csv_ex-20151112.zip,2005-12-13
1966,https://comtrade.un.org/api/get/bulk/C/A/1966/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1966_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1967,https://comtrade.un.org/api/get/bulk/C/A/1967/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1967_freq-A_px-S1_pub-20051213_fmt-csv_ex-20151113.zip,2005-12-13
1968,https://comtrade.un.org/api/get/bulk/C/A/1968/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1968_freq-A_px-S1_pub-20051213_fmt-csv_ex-20151113.zip,2005-12-13
1969,https://comtrade.un.org/api/get/bulk/C/A/1969/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1969_freq-A_px-S1_pub-20051213_fmt-csv_ex-20151113.zip,2005-12-13
1970,https://comtrade.un.org/api/get/bulk/C/A/1970/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1970_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1971,https://comtrade.un.org/api/get/bulk/C/A/1971/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1971_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1972,https://comtrade.un.org/api/get/bulk/C/A/1972/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1972_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1973,https://comtrade.un.org/api/get/bulk/C/A/1973/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1973_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1974,https://comtrade.un.org/api/get/bulk/C/A/1974/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1974_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1975,https://comtrade.un.org/api/get/bulk/C/A/1975/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1975_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151114.zip,2005-12-12
1976,https://comtrade.un.org/api/get/bulk/C/A/1976/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1976_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1977,https://comtrade.un.org/api/get/bulk/C/A/1977/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1977_freq-A_px-S1_pub-20051116_fmt-csv_ex-20151112.zip,2005-11-16
1978,https://comtrade.un.org/api/get/bulk/C/A/1978/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1978_freq-A_px-S1_pub-20051116_fmt-csv_ex-20151113.zip,2005-11-16
1979,https://comtrade.un.org/api/get/bulk/C/A/1979/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1979_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1980,https://comtrade.un.org/api/get/bulk/C/A/1980/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1980_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1981,https://comtrade.un.org/api/get/bulk/C/A/1981/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1981_freq-A_px-S1_pub-20051212_fmt-csv_ex-20151113.zip,2005-12-12
1982,https://comtrade.un.org/api/get/bulk/C/A/1982/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1982_freq-A_px-S1_pub-20091029_fmt-csv_ex-20151112.zip,2009-10-29
1983,https://comtrade.un.org/api/get/bulk/C/A/1983/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1983_freq-A_px-S1_pub-20091029_fmt-csv_ex-20151113.zip,2009-10-29
1984,https://comtrade.un.org/api/get/bulk/C/A/1984/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1984_freq-A_px-S1_pub-20091029_fmt-csv_ex-20151112.zip,2009-10-29
1985,https://comtrade.un.org/api/get/bulk/C/A/1985/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1985_freq-A_px-S1_pub-20091029_fmt-csv_ex-20151113.zip,2009-10-29
1986,https://comtrade.un.org/api/get/bulk/C/A/1986/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1986_freq-A_px-S1_pub-20091029_fmt-csv_ex-20151113.zip,2009-10-29
1987,https://comtrade.un.org/api/get/bulk/C/A/1987/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1987_freq-A_px-S1_pub-20051214_fmt-csv_ex-20151113.zip,2005-12-14
1988,https://comtrade.un.org/api/get/bulk/C/A/1988/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1988_freq-A_px-S1_pub-20051214_fmt-csv_ex-20151113.zip,2005-12-14
1989,https://comtrade.un.org/api/get/bulk/C/A/1989/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1989_freq-A_px-S1_pub-20051219_fmt-csv_ex-20151113.zip,2005-12-19
1990,https://comtrade.un.org/api/get/bulk/C/A/1990/ALL/S1?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev1/type-C_r-ALL_ps-1990_freq-A_px-S1_pub-20051222_fmt-csv_ex-20151113.zip,2005-12-22
