year,url,file,local_file_date
1992,https://comtrade.un.org/api/get/bulk/C/A/1992/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-1992_freq-A_px-H0_pub-20070523_fmt-csv_ex-20151113.zip,2007-05-23
1993,https://comtrade.un.org/api/get/bulk/C/A/1993/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-1993_freq-A_px-H0_pub-20060109_fmt-csv_ex-20151113.zip,2006-01-09
1994,https://comtrade.un.org/api/get/bulk/C/A/1994/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-1994_freq-A_px-H0_pub-20060109_fmt-csv_ex-20151113.zip,2006-01-09
1995,https://comtrade.un.org/api/get/bulk/C/A/1995/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-1995_freq-A_px-H0_pub-20060109_fmt-csv_ex-20151112.zip,2006-01-09
1996,https://comtrade.un.org/api/get/bulk/C/A/1996/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-1996_freq-A_px-H0_pub-20060110_fmt-csv_ex-20151113.zip,2006-01-10
1997,https://comtrade.un.org/api/get/bulk/C/A/1997/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-1997_freq-A_px-H0_pub-20060110_fmt-csv_ex-20151113.zip,2006-01-10
1998,https://comtrade.un.org/api/get/bulk/C/A/1998/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-1998_freq-A_px-H0_pub-20060110_fmt-csv_ex-20151113.zip,2006-01-10
1999,https://comtrade.un.org/api/get/bulk/C/A/1999/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-1999_freq-A_px-H0_pub-20051228_fmt-csv_ex-20151113.zip,2005-12-28
2000,https://comtrade.un.org/api/get/bulk/C/A/2000/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2000_freq-A_px-H0_pub-20180115_fmt-csv_ex-20180223.zip,2018-01-15
2001,https://comtrade.un.org/api/get/bulk/C/A/2001/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2001_freq-A_px-H0_pub-20180115_fmt-csv_ex-20180223.zip,2018-01-15
2002,https://comtrade.un.org/api/get/bulk/C/A/2002/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2002_freq-A_px-H0_pub-20180115_fmt-csv_ex-20180223.zip,2018-01-15
2003,https://comtrade.un.org/api/get/bulk/C/A/2003/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2003_freq-A_px-H0_pub-20180113_fmt-csv_ex-20180224.zip,2018-01-13
2004,https://comtrade.un.org/api/get/bulk/C/A/2004/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2004_freq-A_px-H0_pub-20180112_fmt-csv_ex-20180224.zip,2018-01-12
2005,https://comtrade.un.org/api/get/bulk/C/A/2005/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2005_freq-A_px-H0_pub-20180109_fmt-csv_ex-20180224.zip,2018-01-09
2006,https://comtrade.un.org/api/get/bulk/C/A/2006/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2006_freq-A_px-H0_pub-20171212_fmt-csv_ex-20171228.zip,2017-12-12
2007,https://comtrade.un.org/api/get/bulk/C/A/2007/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2007_freq-A_px-H0_pub-20171212_fmt-csv_ex-20171228.zip,2017-12-12
2008,https://comtrade.un.org/api/get/bulk/C/A/2008/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2008_freq-A_px-H0_pub-20180724_fmt-csv_ex-20180725.zip,2018-07-24
2009,https://comtrade.un.org/api/get/bulk/C/A/2009/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2009_freq-A_px-H0_pub-20180718_fmt-csv_ex-20180725.zip,2018-07-18
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2010_freq-A_px-H0_pub-20180712_fmt-csv_ex-20180725.zip,2018-07-12
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2011_freq-A_px-H0_pub-20180718_fmt-csv_ex-20180725.zip,2018-07-18
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2012_freq-A_px-H0_pub-20180724_fmt-csv_ex-20180725.zip,2018-07-24
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2013_freq-A_px-H0_pub-20180709_fmt-csv_ex-20180725.zip,2018-07-09
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2014_freq-A_px-H0_pub-20180724_fmt-csv_ex-20180725.zip,2018-07-24
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2015_freq-A_px-H0_pub-20180724_fmt-csv_ex-20180725.zip,2018-07-24
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/H0?token=REPLACE_TOKEN,01-raw-data/hs-rev1992/type-C_r-ALL_ps-2016_freq-A_px-H0_pub-20180716_fmt-csv_ex-20180725.zip,2018-07-16
